id,topic,title,url,level,description
287941,python,Практикум по Python: от простых задач к алгоритмам,https://stepik.org/course/287941,beginner,Особенности курса ✅ Простое объяснение тем ✅ Большое количество практических задач ✅ Постепенное усложнение материала ✅ Автоматическая проверка решений ✅ Подходит для школьников и начинающих ✅ Практико-ориентированный подход
287579,python,QA в финтехе: API-тестирование и автоматизация на Python,https://stepik.org/course/287579,beginner,"Курс для тех, кто хочет войти в QA или вырасти в автоматизацию через самый доходный домен — финтех. Здесь платят больше, требуют строже и ценят тех, кто понимает как работают деньги и системы."
287542,python,Python&ROS: осваиваем робототехнику,https://stepik.org/course/287542,beginner,"Курс полностью автоматизирован на платформе Stepik. Всё, что нужно, — браузер и желание разобраться. 📖 Краткая теория -&gt; Только нужное, без перегруза 🧪 Тесты -&gt; Быстрая проверка понимания 🔢 Числовые ответы -&gt; Расчёты скоростей, углов, времени 🧩 Сопоставление -&gt; Свяжи команду ROS с её действием 💻 Задачи на код -&gt; Пиши скрипты, управляй черепашкой 🐢 Симулятор черепашки -&gt; Консольная черепашка прямо в браузере"
287415,python,Методы строк в Python: большой практический курс,https://stepik.org/course/287415,beginner,"ВЫ ЧИТАЕТЕ ЭТОТ ТЕКСТ, А ЭТО — СТРОКА В ВЕРХНЕМ РЕГИСТРЕ! а как быстро сделать строку маленькими буквами? Или Каждое Слово С Заглавной Буквы? Как заменить во всём тексте русскую «о» на английскую? Как проверить, что ввели номер телефона только цифрами? Как считать данные из файла, если в нём несколько строк? Как убрать лишние пробелы? Строки встречаются буквально везде! Именно поэтому очень важно не просто знать названия методов, а понимать: как они работают; чем отличаются; и когда какой метод использовать. Этот курс создан, чтобы наконец разложить всё по полочкам. Без зубрёжки. С понятными объяснениями. С живыми примерами. С большим количеством практики и задач. После этого курса, строки в Python наконец перестанут казаться чем-то страшным и запутанным. ฅ^•ﻌ•^ฅ"
287210,python,Python,https://stepik.org/course/287210,unknown,"Данный курс сделан из 3-х курсов: Minimal Python, Middle Python и Maximal Python. В данном курсе рассматриваются все основы языка, которые должен знать каждый Python-разработчик"
287138,python,Python Множества: Методы,https://stepik.org/course/287138,beginner,"Курс · Python · Множества О курсе Этот курс поможет уверенно разобраться с методами множества set в Python: от простого добавления элементов до операций над наборами и проверок отношений. Множество - это структура данных, которая хранит только уникальные элементы. На практике оно помогает быстро удалять дубликаты, проверять наличие значений, сравнивать наборы данных и писать более короткий код вместо длинных циклов. В курсе мы будем разбирать методы не как сухой список команд, а через смысл: что метод меняет, что возвращает, когда вызывает ошибку, чем отличается от похожих методов и как ведёт себя в реальных задачах. Roadmap мини-курсов Эта серия курсов помогает по шагам разобраться с базовыми структурами данных Python и их методами: списками, строками, множествами, словарями и коллекциями из модуля collections . Курсы можно проходить отдельно, но лучше двигаться по порядку: сначала списки, затем строки, множества, словари и дополнительные структуры данных. Курс Что внутри Python Списки: Методы и магические методы Курс по методам встроенного типа list : добавление и вставка, удаление и очистка, поиск и подсчёт, порядок элементов, копирование и магические методы. Здесь вы разберёте методы append , extend , insert , pop , remove , clear , index , count , sort , reverse , copy и дандер-протоколы. Python Строки: Методы и магические методы В разработке. Python Множества: Методы Текущий курс Курс по методам множества set : добавление, удаление, копирование, операции над множествами и проверки отношений. Здесь вы разберёте методы add , update , remove , discard , pop , clear , copy , union , intersection , difference , symmetric_difference , методы с окончанием _update , а также issubset , issuperset и isdisjoint . Python Словари: Методы и магические методы В разработке. Python deque: Методы В разработке. Python Counter, defaultdict, OrderedDict, ChainMap: Методы В разработке. Для кого этот курс 1. Для тех, кто уже знает базовый Python и хочет увереннее работать с коллекциями. 2. Для тех, кто путает методы вроде add и update , remove и discard , union и update . 3. Для тех, кто готовится к задачам, собеседованиям или хочет писать более аккуратный Python-код. 4. Для тех, кто хочет не заучивать методы, а понимать, какой инструмент выбрать под условие задачи. Что вы изучите 1 Добавление элементов. Методы add и update , их отличие и типичные ошибки. 2 Удаление и очистка. Методы remove , discard , pop и clear . 3 Копирование. Метод copy и отличие копии от обычного присваивания. 4 Операции над множествами. Объединение, пересечение, разность и симметрическая разность через методы и операторы. 5 Операции на месте. Методы с окончанием _update , которые изменяют первое множество и возвращают None . 6 Проверки отношений. Методы issubset , issuperset и isdisjoint . Программа курса Глава 1. Добавление элементов Два основных способа пополнять множество: add добавляет один элемент, а update добавляет элементы из итерируемого объекта. Разберётесь, почему add([1, 2]) вызывает ошибку, а update([1, 2]) работает. Глава 2. Удаление и очистка Четыре способа убирать элементы: remove удаляет значение и вызывает ошибку, если его нет, discard удаляет без ошибки, pop забирает произвольный элемент, а clear очищает множество полностью. Глава 3. Копирование Метод copy создаёт неглубокую копию множества. Поймёте, чем копия отличается от обычного присваивания и почему это важно при изменении объекта. Глава 4. Операции над множествами Разберёте методы union , intersection , difference и symmetric_difference . Научитесь получать объединение, пересечение, разность и симметрическую разность без лишних циклов. Глава 5. Операции на месте Методы intersection_update , difference_update и symmetric_difference_update меняют исходное множество. Разберётесь, почему такие методы обычно возвращают None . Глава 6. Проверки отношений Методы issubset , issuperset и isdisjoint помогают проверять отношения между наборами данных: является ли одно множество частью другого, содержит ли оно другое множество целиком и нет ли между ними общих элементов. Итоговый экзамен Финальная проверка по всему курсу: добавление, удаление, копирование, операции над множествами, операции на месте, проверки отношений, ошибки и возвращаемые значения методов. После курса вы сможете Быстро выбирать подходящий метод set под задачу. Отличать методы, которые создают новое множество, от методов, которые меняют объект на месте. Понимать, почему одни методы возвращают результат, а другие возвращают None . Работать с пересечениями, разностями, объединениями и проверками без лишних циклов. Понимать разницу между безопасным удалением через discard и строгим удалением через remove . Писать более короткий и понятный код там, где раньше приходилось вручную сравнивать списки и искать совпадения. Главное Этот курс не про заучивание списка методов. Его цель - научить видеть задачу как работу с наборами: что добавить, что удалить, что сравнить, что оставить, а что проверить. Именно так множества становятся удобным инструментом, а не отдельной темой из справочника."
287131,python,Работа с Web-страницами на Python,https://stepik.org/course/287131,beginner,Курс кратко рассказывает о тестировании с помощью Selenuim. Курс создан в качестве практической работы по Учебной практике в СПБГУАП.
286941,python,Анализ больших данных на Python 2026,https://stepik.org/course/286941,unknown,"Практические задания к университетскому курсу, посвященному применению языка Python и его библиотек для решения задач анализа данных."
286790,python,«Основы программирования на Python для начинающих»,https://stepik.org/course/286790,beginner,"Описание курса Цель курса: Научить слушателей базовым конструкциям языка Python: переменные, типы данных, условные операторы, циклы. Сформировать навык написания простых программ. Целевая аудитория: Абсолютные новички в программировании, школьники старших классов, студенты непрофильных специальностей, желающие освоить первый язык программирования. Исходный уровень знаний: Умение пользоваться компьютером (создавать файлы, устанавливать программы). Никакого опыта в программировании не требуется."
287112,java,Программирование на языке Java для обучающихся 10-11 классов,https://stepik.org/course/287112,beginner,Практический курс по Java для обучающихся 10–11 классов. 20 уроков от основ до полноценного приложения с графическим интерфейсом и базой данных.
